01.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
02.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
05.02.2018 [1, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 1, 0, 'n', 'n', 'n', 1, 'call', 'call', 'tagestradeRSL_EMA.12.104']
06.02.2018 [-1, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', -1, -1, 'verkaufCall', 'call', 'tagestradeRSL_EMA.12.104.V', 0, 'n', 'n', 'n']
07.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
08.02.2018 [1, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 1, 0, 'n', 'n', 'n', 1, 'call', 'call', 'tagestradeRSL_EMA.12.104']
09.02.2018 [-1, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', -1, -1, 'verkaufCall', 'call', 'tagestradeRSL_EMA.12.104.V', 0, 'n', 'n', 'n']
12.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
13.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
14.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
15.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
16.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
20.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
21.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
22.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
23.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']
26.02.2018 [-1, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', -1, 0, 'n', 'n', 'n', -1, 'put', 'put', 'tagestradeRSL_EMA.12.97']
27.02.2018 [1, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 1, 1, 'verkaufPut', 'put', 'tagestradeRSL_EMA.12.97.V', 0, 'n', 'n', 'n']
28.02.2018 [0, 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n', 0, 0, 'n', 'n', 'n', 0, 'n', 'n', 'n']

RSL 12 104 97
